id,fen
48,1rr3k1/p4ppp/3p2b1/1n1Bp3/q3P1RP/2BQ1P2/1PPK1P2/3R4 w - - 6 25
49,1rr3k1/p4ppp/3p2b1/1n2p3/q3P1RP/1BBQ1P2/1PPK1P2/3R4 b - - 7 25
50,1rr3k1/p4ppp/q2p2b1/1n2p3/4P1RP/1BBQ1P2/1PPK1P2/3R4 w - - 8 26
51,1rr3k1/p4ppp/q2p2b1/1n2p3/2B1P1RP/2BQ1P2/1PPK1P2/3R4 b - - 9 26
52,1rr3k1/p4ppp/q2p4/1n2p2b/2B1P1RP/2BQ1P2/1PPK1P2/3R4 w - - 10 27
53,1rr3k1/p4ppp/q2p4/1n2p2b/2B1P2P/2BQ1PR1/1PPK1P2/3R4 b - - 11 27
54,1rr3k1/p4ppp/3p4/1n2p2b/q1B1P2P/2BQ1PR1/1PPK1P2/3R4 w - - 12 28
55,1rr3k1/p4ppp/3p4/1B2p2b/q3P2P/2BQ1PR1/1PPK1P2/3R4 b - - 0 28
56,1rr3k1/p4ppp/3p4/1q2p2b/4P2P/2BQ1PR1/1PPK1P2/3R4 w - - 0 29
57,1rr3k1/p4ppp/3Q4/1q2p2b/4P2P/2B2PR1/1PPK1P2/3R4 b - - 0 29
58,1r1r2k1/p4ppp/3Q4/1q2p2b/4P2P/2B2PR1/1PPK1P2/3R4 w - - 1 30
